epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.106,1.26893,1.45428,1.15803,0.88637,0.82444,0.88177,0.55444,1.28172,0.98791,1.17817,0.000665158,0.000665158,0.000665158
2,303.74,1.2679,0.85141,1.15644,0.93752,0.84738,0.90889,0.58623,1.25155,0.80273,1.19665,0.00130985,0.00130985,0.00130985
3,447.762,1.25985,0.77591,1.15512,0.94142,0.8779,0.93314,0.61502,1.22027,0.68859,1.15577,0.00193254,0.00193254,0.00193254
4,589.975,1.2333,0.73758,1.13742,0.9476,0.83326,0.90132,0.60292,1.23254,0.74043,1.18108,0.001901,0.001901,0.001901
5,731.401,1.21946,0.70168,1.13816,0.94895,0.89203,0.92764,0.61775,1.17604,0.65634,1.13635,0.001868,0.001868,0.001868
6,874.061,1.21368,0.66993,1.13393,0.96825,0.90615,0.94797,0.63874,1.1935,0.57844,1.12881,0.001835,0.001835,0.001835
7,1017.54,1.18461,0.64441,1.11415,0.97579,0.90296,0.95148,0.65155,1.15237,0.56777,1.11475,0.001802,0.001802,0.001802
8,1158.29,1.17991,0.63321,1.11264,0.96821,0.91564,0.94957,0.64781,1.17469,0.5453,1.12142,0.001769,0.001769,0.001769
9,1301.02,1.16401,0.61615,1.10072,0.97362,0.91253,0.95219,0.64457,1.16219,0.56346,1.10968,0.001736,0.001736,0.001736
10,1445.42,1.16074,0.60298,1.1036,0.96631,0.89749,0.93555,0.63863,1.18277,0.57291,1.12423,0.001703,0.001703,0.001703
11,1589.04,1.15495,0.59609,1.09336,0.96588,0.92164,0.9559,0.65434,1.15862,0.53715,1.11065,0.00167,0.00167,0.00167
12,1734.55,1.14633,0.58441,1.09699,0.97462,0.91982,0.95878,0.6625,1.15456,0.52412,1.10345,0.001637,0.001637,0.001637
